,region1,region2,region3,region4,region5,region6,region7,region8,region9,region10,region11,region12,Cluster Number
36,5,5,3,4,3,3,4,4,4,6,4,4,2
44,6,6,5,3,2,2,6,3,6,6,5,4,2
63,4,6,6,2,3,4,2,4,4,3,6,6,2
72,7,7,6,3,4,4,2,5,4,6,6,6,2
83,6,5,4,4,3,3,5,4,5,6,4,4,2
84,6,6,4,2,2,2,2,4,4,6,5,4,2
85,6,6,5,4,4,4,4,4,5,3,5,6,2
88,5,4,4,2,2,2,6,5,4,5,4,4,2
95,7,6,5,3,4,4,4,5,5,3,6,6,2
98,7,7,6,3,2,2,7,5,3,7,6,6,2
99,6,5,6,4,2,2,7,4,4,6,6,6,2
107,7,6,4,4,2,2,7,6,4,2,4,4,2
110,7,6,6,4,3,3,5,6,4,3,6,6,2
121,7,7,7,2,2,3,7,7,6,6,7,6,2
